method,relevant_items,reachable_relevant_items,reachable_relevant_share,ndcg_upper_bound_at_10
lexical,2.2928571428571427,2.2785714285714285,0.9979591836734695,0.9081277134936938
semantic,2.2928571428571427,2.2785714285714285,0.9979591836734695,0.9081277134936938
